,ID,Title,Difficulty,Repetitions,Done,Data structure used,Algorithm Used,Complexity,Needs Repetition,Notes
117,17,Letter Combinations of a Phone Number,Medium,2,0,,,,,
118,18,4Sum,Medium,2,0,,,,,
119,19,Remove Nth Node From End of List,Medium,2,0,,,,,
120,24,Swap Nodes in Pairs,Medium,2,0,,,,,
121,29,Divide Two Integers,Medium,2,0,,,,,
122,31,Next Permutation,Medium,2,0,,,,,
123,34,Find First and Last Position of Element in Sorted Array,Medium,2,0,,,,,
124,36,Valid Sudoku,Medium,2,0,,,,,
125,39,Combination Sum,Medium,2,0,,,,,
126,40,Combination Sum II,Medium,2,0,,,,,
127,43,Multiply Strings,Medium,2,0,,,,,
128,46,Permutations,Medium,2,0,,,,,
129,49,Group Anagrams,Medium,2,0,,,,,
130,50,Pow(x;n),Medium,2,0,,,,,
131,54,Spiral Matrix,Medium,2,0,,,,,
132,55,Jump Game,Medium,2,0,,,,,
133,56,Merge Intervals,Medium,2,0,,,,,
134,59,Spiral Matrix II,Medium,2,0,,,,,
135,62,Unique Paths,Medium,2,0,,,,,
136,63,Unique Paths II,Medium,2,0,,,,,
137,74,Search a 2D Matrix,Medium,2,0,,,,,
138,75,Sort Colors,Medium,2,0,,,,,
139,77,Combinations,Medium,2,0,,,,,
140,78,Subsets,Medium,2,0,,,,,
141,79,Word Search,Medium,2,0,,,,,
142,82,Remove Duplicates from Sorted List II,Medium,2,0,,,,,
143,91,Decode Ways,Medium,2,0,,,,,
144,92,Reverse Linked List II,Medium,2,0,,,,,
145,94,Binary Tree Inorder Traversal,Medium,2,0,,,,,
146,96,Unique Binary Search Trees,Medium,2,0,,,,,
147,98,Validate Binary Search Tree,Medium,2,0,,,,,
148,102,Binary Tree Level Order Traversal,Medium,2,0,,,,,
149,103,Binary Tree Zigzag Level Order Traversal,Medium,2,0,,,,,
150,105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,2,0,,,,,
151,113,Path Sum II,Medium,2,0,,,,,
152,116,Populating Next Right Pointers in Each Node,Medium,2,0,,,,,
153,120,Triangle,Medium,2,0,,,,,
154,127,Word Ladder,Medium,2,0,,,,,
155,133,Clone Graph,Medium,2,0,,,,,
156,134,Gas Station,Medium,2,0,,,,,
157,138,Copy List with Random Pointer,Medium,2,0,,,,,
158,139,Word Break,Medium,2,0,,,,,
159,142,Linked List Cycle II,Medium,2,0,,,,,
160,143,Reorder List,Medium,2,0,,,,,
161,153,Find Minimum in Rotated Sorted Array,Medium,2,0,,,,,
162,162,Find Peak Element,Medium,2,0,,,,,
163,165,Compare Version Numbers,Medium,2,0,,,,,
164,166,Fraction to Recurring Decimal,Medium,2,0,,,,,
165,173,Binary Search Tree Iterator,Medium,2,0,,,,,
166,177,Nth Highest Salary,Medium,2,0,,,,,
167,179,Largest Number,Medium,2,0,,,,,
168,187,Repeated DNA Sequences,Medium,2,0,,,,,
169,207,Course Schedule,Medium,2,0,,,,,
170,208,Implement Trie (Prefix Tree),Medium,2,0,,,,,
171,209,Minimum Size Subarray Sum,Medium,2,0,,,,,
172,210,Course Schedule II,Medium,2,0,,,,,
173,211,Add and Search Word - Data structure design,Medium,2,0,,,,,
174,215,Kth Largest Element in an Array,Medium,2,0,,,,,
175,220,Contains Duplicate III,Medium,2,0,,,,,
176,221,Maximal Square,Medium,2,0,,,,,
177,223,Rectangle Area,Medium,2,0,,,,,
178,227,Basic Calculator II,Medium,2,0,,,,,
179,229,Majority Element II,Medium,2,0,,,,,
180,230,Kth Smallest Element in a BST,Medium,2,0,,,,,
181,236,Lowest Common Ancestor of a Binary Tree,Medium,2,0,,,,,
182,238,Product of Array Except Self,Medium,2,0,,,,,
183,240,Search a 2D Matrix II,Medium,2,0,,,,,
184,251,Flatten 2D Vector,Medium,2,0,,,,,
185,253,Meeting Rooms II,Medium,2,0,,,,,
186,277,Find the Celebrity,Medium,2,0,,,,,
187,279,Perfect Squares,Medium,2,0,,,,,
188,281,Zigzag Iterator,Medium,2,0,,,,,
189,284,Peeking Iterator,Medium,2,0,,,,,
190,286,Walls and Gates,Medium,2,0,,,,,
191,287,Find the Duplicate Number,Medium,2,0,,,,,
192,300,Longest Increasing Subsequence,Medium,2,0,,,,,
193,304,Range Sum Query 2D - Immutable,Medium,2,0,,,,,
194,309,Best Time to Buy and Sell Stock with Cooldown,Medium,2,0,,,,,
195,310,Minimum Height Trees,Medium,2,0,,,,,
196,311,Sparse Matrix Multiplication,Medium,2,0,,,,,
197,322,Coin Change,Medium,2,0,,,,,
198,332,Reconstruct Itinerary,Medium,2,0,,,,,
199,333,Largest BST Subtree,Medium,2,0,,,,,
200,341,Flatten Nested List Iterator,Medium,2,0,,,,,
201,343,Integer Break,Medium,2,0,,,,,
202,347,Top K Frequent Elements,Medium,2,0,,,,,
203,348,Design Tic-Tac-Toe,Medium,2,0,,,,,
204,351,Android Unlock Patterns,Medium,2,0,,,,,
205,353,Design Snake Game,Medium,2,0,,,,,
206,362,Design Hit Counter,Medium,2,0,,,,,
207,371,Sum of Two Integers,Medium,2,0,,,,,
208,373,Find K Pairs with Smallest Sums,Medium,2,0,,,,,
209,378,Kth Smallest Element in a Sorted Matrix,Medium,2,0,,,,,
210,380,Insert Delete GetRandom O(1),Medium,2,0,,,,,
211,384,Shuffle an Array,Medium,2,0,,,,,
212,388,Longest Absolute File Path,Medium,2,0,,,,,
213,393,UTF-8 Validation,Medium,2,0,,,,,
214,394,Decode String,Medium,2,0,,,,,
215,406,Queue Reconstruction by Height,Medium,2,0,,,,,
216,416,Partition Equal Subset Sum,Medium,2,0,,,,,
217,417,Pacific Atlantic Water Flow,Medium,2,0,,,,,
218,419,Battleships in a Board,Medium,2,0,,,,,
219,427,Construct Quad Tree,Medium,2,0,,,,,
220,430,Flatten a Multilevel Doubly Linked List,Medium,2,0,,,,,
221,435,Non-overlapping Intervals,Medium,2,0,,,,,
222,442,Find All Duplicates in an Array,Medium,2,0,,,,,
223,445,Add Two Numbers II,Medium,2,0,,,,,
224,450,Delete Node in a BST,Medium,2,0,,,,,
225,486,Predict the Winner,Medium,2,0,,,,,
226,490,The Maze,Medium,2,0,,,,,
227,498,Diagonal Traverse,Medium,2,0,,,,,
228,518,Coin Change 2,Medium,2,0,,,,,
229,525,Contiguous Array,Medium,2,0,,,,,
230,528,Random Pick with Weight,Medium,2,0,,,,,
231,540,Single Element in a Sorted Array,Medium,2,0,,,,,
232,542,01 Matrix,Medium,2,0,,,,,
233,549,Binary Tree Longest Consecutive Sequence II,Medium,2,0,,,,,
234,560,Subarray Sum Equals K,Medium,2,0,,,,,
235,582,Kill Process,Medium,2,0,,,,,
236,609,Find Duplicate File in System,Medium,2,0,,,,,
237,621,Task Scheduler,Medium,2,0,,,,,
238,622,Design Circular Queue,Medium,2,0,,,,,
239,636,Exclusive Time of Functions,Medium,2,0,,,,,
240,647,Palindromic Substrings,Medium,2,0,,,,,
241,658,Find K Closest Elements,Medium,2,0,,,,,
242,688,Knight Probability in Chessboard,Medium,2,0,,,,,
243,692,Top K Frequent Words,Medium,2,0,,,,,
244,694,Number of Distinct Islands,Medium,2,0,,,,,
245,695,Max Area of Island,Medium,2,0,,,,,
246,721,Accounts Merge,Medium,2,0,,,,,
247,729,My Calendar I,Medium,2,0,,,,,
248,767,Reorganize String,Medium,2,0,,,,,
249,837,New 21 Game,Medium,2,0,,,,,
250,863,All Nodes Distance K in Binary Tree,Medium,2,0,,,,,
251,886,Possible Bipartition,Medium,2,0,,,,,
252,890,Find and Replace Pattern,Medium,2,0,,,,,
253,909,Snakes and Ladders,Medium,2,0,,,,,
254,911,Online Election,Medium,2,0,,,,,
255,931,Minimum Falling Path Sum,Medium,2,0,,,,,
256,939,Minimum Area Rectangle,Medium,2,0,,,,,
257,973,K Closest Points to Origin,Medium,2,0,,,,,
258,981,Time Based Key-Value Store,Medium,2,0,,,,,
259,986,Interval List Intersections,Medium,2,0,,,,,
260,1011,Capacity To Ship Packages Within D Days,Medium,2,0,,,,,
261,1060,Missing Element in Sorted Array,Medium,2,0,,,,,
262,1146,Snapshot Array,Medium,2,0,,,,,
263,1197,Minimum Knight Moves,Medium,2,0,,,,,
264,1229,Meeting Scheduler,Medium,2,0,,,,,
265,4,Median of Two Sorted Arrays,Hard,2,0,,,,,
266,10,Regular Expression Matching,Hard,2,0,,,,,
267,25,Reverse Nodes in k-Group,Hard,2,0,,,,,
268,30,Substring with Concatenation of All Words,Hard,2,0,,,,,
269,32,Longest Valid Parentheses,Hard,2,0,,,,,
270,37,Sudoku Solver,Hard,2,0,,,,,
271,41,First Missing Positive,Hard,2,0,,,,,
272,45,Jump Game II,Hard,2,0,,,,,
273,51,N-Queens,Hard,2,0,,,,,
274,57,Insert Interval,Hard,2,0,,,,,
275,60,Permutation Sequence,Hard,2,0,,,,,
276,65,Valid Number,Hard,2,0,,,,,
277,68,Text Justification,Hard,2,0,,,,,
278,72,Edit Distance,Hard,2,0,,,,,
279,76,Minimum Window Substring,Hard,2,0,,,,,
280,87,Scramble String,Hard,2,0,,,,,
281,123,Best Time to Buy and Sell Stock III,Hard,2,0,,,,,
282,124,Binary Tree Maximum Path Sum,Hard,2,0,,,,,
283,126,Word Ladder II,Hard,2,0,,,,,
284,128,Longest Consecutive Sequence,Hard,2,0,,,,,
285,135,Candy,Hard,2,0,,,,,
286,140,Word Break II,Hard,2,0,,,,,
287,149,Max Points on a Line,Hard,2,0,,,,,
288,188,Best Time to Buy and Sell Stock IV,Hard,2,0,,,,,
289,212,Word Search II,Hard,2,0,,,,,
290,218,The Skyline Problem,Hard,2,0,,,,,
291,239,Sliding Window Maximum,Hard,2,0,,,,,
292,269,Alien Dictionary,Hard,2,0,,,,,
293,273,Integer to English Words,Hard,2,0,,,,,
294,282,Expression Add Operators,Hard,2,0,,,,,
295,295,Find Median from Data Stream,Hard,2,0,,,,,
296,297,Serialize and Deserialize Binary Tree,Hard,2,0,,,,,
297,301,Remove Invalid Parentheses,Hard,2,0,,,,,
298,315,Count of Smaller Numbers After Self,Hard,2,0,,,,,
299,316,Remove Duplicate Letters,Hard,2,0,,,,,
300,329,Longest Increasing Path in a Matrix,Hard,2,0,,,,,
301,336,Palindrome Pairs,Hard,2,0,,,,,
302,381,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,2,0,,,,,
303,391,Perfect Rectangle,Hard,2,0,,,,,
304,403,Frog Jump,Hard,2,0,,,,,
305,407,Trapping Rain Water II,Hard,2,0,,,,,
306,428,Serialize and Deserialize N-ary Tree,Hard,2,0,,,,,
307,460,LFU Cache,Hard,2,0,,,,,
308,472,Concatenated Words,Hard,2,0,,,,,
309,480,Sliding Window Median,Hard,2,0,,,,,
310,632,Smallest Range Covering Elements from K Lists,Hard,2,0,,,,,
311,642,Design Search Autocomplete System,Hard,2,0,,,,,
312,741,Cherry Pickup,Hard,2,0,,,,,
313,772,Basic Calculator III,Hard,2,0,,,,,
314,895,Maximum Frequency Stack,Hard,2,0,,,,,
315,1044,Longest Duplicate Substring,Hard,2,0,,,,,
316,1095,Find in Mountain Array,Hard,2,0,,,,,
317,27,Remove Element,Easy,1,0,,,,,
318,107,Binary Tree Level Order Traversal II,Easy,1,0,,,,,
319,111,Minimum Depth of Binary Tree,Easy,1,0,,,,,
320,112,Path Sum,Easy,1,0,,,,,
321,119,Pascal's Triangle II,Easy,1,0,,,,,
322,157,Read N Characters Given Read4,Easy,1,0,,,,,
323,160,Intersection of Two Linked Lists,Easy,1,0,,,,,
324,193,Valid Phone Numbers,Easy,1,0,,,,,
325,205,Isomorphic Strings,Easy,1,0,,,,,
326,217,Contains Duplicate,Easy,1,0,,,,,
327,235,Lowest Common Ancestor of a Binary Search Tree,Easy,1,0,,,,,
328,243,Shortest Word Distance,Easy,1,0,,,,,
329,246,Strobogrammatic Number,Easy,1,0,,,,,
330,252,Meeting Rooms,Easy,1,0,,,,,
331,256,Paint House,Easy,1,0,,,,,
332,258,Add Digits,Easy,1,0,,,,,
333,270,Closest Binary Search Tree Value,Easy,1,0,,,,,
334,276,Paint Fence,Easy,1,0,,,,,
335,278,First Bad Version,Easy,1,0,,,,,
336,290,Word Pattern,Easy,1,0,,,,,
337,293,Flip Game,Easy,1,0,,,,,
338,299,Bulls and Cows,Easy,1,0,,,,,
339,303,Range Sum Query - Immutable,Easy,1,0,,,,,
340,346,Moving Average from Data Stream,Easy,1,0,,,,,
341,367,Valid Perfect Square,Easy,1,0,,,,,
342,383,Ransom Note,Easy,1,0,,,,,
343,389,Find the Difference,Easy,1,0,,,,,
344,392,Is Subsequence,Easy,1,0,,,,,
345,404,Sum of Left Leaves,Easy,1,0,,,,,
346,408,Valid Word Abbreviation,Easy,1,0,,,,,
347,409,Longest Palindrome,Easy,1,0,,,,,
348,414,Third Maximum Number,Easy,1,0,,,,,
349,422,Valid Word Square,Easy,1,0,,,,,
350,447,Number of Boomerangs,Easy,1,0,,,,,
351,453,Minimum Moves to Equal Array Elements,Easy,1,0,,,,,
352,459,Repeated Substring Pattern,Easy,1,0,,,,,
353,475,Heaters,Easy,1,0,,,,,
354,482,License Key Formatting,Easy,1,0,,,,,
355,485,Max Consecutive Ones,Easy,1,0,,,,,
356,496,Next Greater Element I,Easy,1,0,,,,,
357,501,Find Mode in Binary Search Tree,Easy,1,0,,,,,
358,504,Base 7,Easy,1,0,,,,,
359,509,Fibonacci Number,Easy,1,0,,,,,
360,541,Reverse String II,Easy,1,0,,,,,
361,551,Student Attendance Record I,Easy,1,0,,,,,
362,557,Reverse Words in a String III,Easy,1,0,,,,,
363,559,Maximum Depth of N-ary Tree,Easy,1,0,,,,,
364,561,Array Partition I,Easy,1,0,,,,,
365,572,Subtree of Another Tree,Easy,1,0,,,,,
366,581,Shortest Unsorted Continuous Subarray,Easy,1,0,,,,,
367,594,Longest Harmonious Subsequence,Easy,1,0,,,,,
368,604,Design Compressed String Iterator,Easy,1,0,,,,,
369,617,Merge Two Binary Trees,Easy,1,0,,,,,
370,628,Maximum Product of Three Numbers,Easy,1,0,,,,,
371,643,Maximum Average Subarray I,Easy,1,0,,,,,
372,657,Robot Return to Origin,Easy,1,0,,,,,
373,661,Image Smoother,Easy,1,0,,,,,
374,665,Non-decreasing Array,Easy,1,0,,,,,
375,680,Valid Palindrome II,Easy,1,0,,,,,
376,682,Baseball Game,Easy,1,0,,,,,
377,686,Repeated String Match,Easy,1,0,,,,,
378,690,Employee Importance,Easy,1,0,,,,,
379,705,Design HashSet,Easy,1,0,,,,,
380,716,Max Stack,Easy,1,0,,,,,
381,717,1-bit and 2-bit Characters,Easy,1,0,,,,,
382,720,Longest Word in Dictionary,Easy,1,0,,,,,
383,734,Sentence Similarity,Easy,1,0,,,,,
384,747,Largest Number At Least Twice of Others,Easy,1,0,,,,,
385,748,Shortest Completing Word,Easy,1,0,,,,,
386,758,Bold Words in String,Easy,1,0,,,,,
387,760,Find Anagram Mappings,Easy,1,0,,,,,
388,783,Minimum Distance Between BST Nodes,Easy,1,0,,,,,
389,788,Rotated Digits,Easy,1,0,,,,,
390,796,Rotate String,Easy,1,0,,,,,
391,800,Similar RGB Color,Easy,1,0,,,,,
392,806,Number of Lines To Write String,Easy,1,0,,,,,
393,812,Largest Triangle Area,Easy,1,0,,,,,
394,830,Positions of Large Groups,Easy,1,0,,,,,
395,832,Flipping an Image,Easy,1,0,,,,,
396,840,Magic Squares In Grid,Easy,1,0,,,,,
397,844,Backspace String Compare,Easy,1,0,,,,,
398,849,Maximize Distance to Closest Person,Easy,1,0,,,,,
399,852,Peak Index in a Mountain Array,Easy,1,0,,,,,
400,859,Buddy Strings,Easy,1,0,,,,,
401,867,Transpose Matrix,Easy,1,0,,,,,
402,872,Leaf-Similar Trees,Easy,1,0,,,,,
403,876,Middle of the Linked List,Easy,1,0,,,,,
404,914,X of a Kind in a Deck of Cards,Easy,1,0,,,,,
405,917,Reverse Only Letters,Easy,1,0,,,,,
406,925,Long Pressed Name,Easy,1,0,,,,,
407,929,Unique Email Addresses,Easy,1,0,,,,,
408,933,Number of Recent Calls,Easy,1,0,,,,,
409,937,Reorder Data in Log Files,Easy,1,0,,,,,
410,941,Valid Mountain Array,Easy,1,0,,,,,
411,942,DI String Match,Easy,1,0,,,,,
412,949,Largest Time for Given Digits,Easy,1,0,,,,,
413,961,N-Repeated Element in Size 2N Array,Easy,1,0,,,,,
414,965,Univalued Binary Tree,Easy,1,0,,,,,
415,989,Add to Array-Form of Integer,Easy,1,0,,,,,
416,997,Find the Town Judge,Easy,1,0,,,,,
417,1002,Find Common Characters,Easy,1,0,,,,,
418,1025,Divisor Game,Easy,1,0,,,,,
419,1029,Two City Scheduling,Easy,1,0,,,,,
420,1047,Remove All Adjacent Duplicates In String,Easy,1,0,,,,,
421,1051,Height Checker,Easy,1,0,,,,,
422,1056,Confusing Number,Easy,1,0,,,,,
